iter  min_term_f  max_term_f  min_term_p  max_term_p  pct_terms_outside_posit_zone  pAp_f  pAp_p
   0  1.290406e-15  3.585350e-04  2.150586e-16  3.585316e-04  97.32  1.221491e-01  1.221515e-01
   1  1.680434e-14  2.578759e-04  8.927142e-15  2.578903e-04  98.99  6.079662e-02  6.078643e-02
   2  1.250827e-23  3.558099e-04  1.846114e-14  3.558064e-04  94.73  1.234706e-01  1.234522e-01
   3  4.791901e-14  3.067575e-04  2.695560e-14  3.067189e-04  94.61  2.431554e-01  2.431249e-01
   4  1.118417e-13  6.129339e-04  2.363868e-13  6.129556e-04  97.13  1.528817e-01  1.528716e-01
   5  2.182490e-13  9.394094e-04  2.681293e-13  9.393799e-04  97.38  1.118105e-01  1.118042e-01
   6  1.418692e-12  3.494006e-04  1.417902e-12  3.494306e-04  97.14  9.760271e-02  9.759641e-02
   7  9.016386e-12  1.525178e-03  7.600390e-13  1.524989e-03  95.26  1.012016e-01  1.011952e-01
   8  3.260702e-12  2.481810e-03  3.339635e-12  2.481581e-03  94.82  2.308946e-01  2.308843e-01
   9  1.090689e-11  9.787507e-04  9.135936e-12  9.786343e-04  92.93  1.980234e-01  1.980222e-01
  10  1.004632e-11  4.775514e-04  1.524521e-12  4.774537e-04  95.79  1.837442e-01  1.837459e-01
  11  4.080099e-12  5.293038e-04  4.196590e-12  5.294018e-04  96.31  1.652836e-01  1.652903e-01
  12  3.887215e-12  5.058728e-04  2.986616e-12  5.059988e-04  98.57  9.538738e-02  9.539577e-02
  13  9.305373e-13  3.637875e-04  1.545709e-13  3.639201e-04  96.11  7.934753e-02  7.935680e-02
  14  3.289773e-12  3.732011e-04  3.620303e-12  3.725641e-04  97.20  1.449352e-01  1.449578e-01
  15  3.138994e-13  6.415643e-04  8.078525e-12  6.417767e-04  95.78  1.251301e-01  1.251518e-01
  16  2.920106e-12  1.061169e-03  2.874545e-12  1.058962e-03  96.65  1.169349e-01  1.169614e-01
  17  8.155621e-12  2.635919e-03  8.150713e-12  2.637102e-03  95.50  1.450562e-01  1.450920e-01
  18  1.826374e-11  9.734862e-04  8.345003e-12  9.740575e-04  97.22  1.738982e-01  1.739484e-01
  19  8.283919e-13  5.600970e-04  9.138625e-13  5.603856e-04  98.14  8.694915e-02  8.697956e-02
  20  5.439440e-13  4.252887e-04  1.667780e-13  4.254400e-04  97.49  6.744243e-02  6.746816e-02
  21  4.641023e-12  6.848594e-04  4.525808e-12  6.851295e-04  97.28  1.065141e-01  1.065593e-01
  22  3.506135e-12  9.052814e-04  4.047769e-12  9.058385e-04  96.74  1.159849e-01  1.160369e-01
  23  2.960239e-12  1.004810e-03  6.048831e-12  1.005453e-03  97.12  1.206551e-01  1.207122e-01
  24  9.845778e-14  6.653250e-04  1.791938e-14  6.669040e-04  97.96  1.007125e-01  1.007642e-01
  25  8.996023e-12  8.552704e-04  9.547276e-12  8.566933e-04  97.65  9.461141e-02  9.466089e-02
  26  5.031241e-12  7.421706e-04  4.138730e-12  7.433074e-04  98.29  9.110392e-02  9.115272e-02
  27  3.406835e-12  1.382628e-03  3.370767e-12  1.383571e-03  97.32  7.598264e-02  7.602687e-02
  28  9.526472e-13  6.684081e-04  9.515531e-13  6.688410e-04  97.40  9.930487e-02  9.936413e-02
  29  3.362757e-12  8.224534e-04  3.428586e-12  8.230140e-04  97.04  1.039806e-01  1.040432e-01
  30  2.826903e-12  1.076430e-03  5.074445e-12  1.077269e-03  97.66  9.164765e-02  9.170617e-02
