iter  min_term_f  max_term_f  min_term_p  max_term_p  pct_terms_outside_posit_zone  pAp_f  pAp_p
   0  1.149587e-07  1.819301e-05  1.088733e-16  1.819340e-05  66.88  2.023441e-05  2.023429e-05
   1  5.794284e-15  2.368899e-04  7.243017e-16  2.369039e-04  66.46  1.179716e-03  1.179745e-03
   2  3.949076e-15  1.493642e-03  9.872991e-16  1.493886e-03  65.83  1.966034e-02  1.966095e-02
   3  2.192206e-08  5.568777e-03  2.191379e-08  5.569325e-03  33.33  4.757198e-02  4.757305e-02
   4  1.326232e-14  1.864367e-03  1.657897e-15  1.864868e-03  65.41  4.225966e-02  4.226157e-02
   5  9.972780e-16  1.993251e-03  1.870066e-16  1.994067e-03  65.62  2.702909e-02  2.703067e-02
   6  2.004721e-09  3.663648e-03  2.002422e-09  3.664710e-03  33.65  4.696112e-02  4.696557e-02
   7  1.744235e-08  1.561427e-03  8.853709e-16  1.562194e-03  65.41  3.378379e-02  3.378702e-02
   8  3.779102e-15  2.371720e-03  9.448661e-16  2.372618e-03  65.10  3.379580e-02  3.379942e-02
   9  7.414731e-15  2.833767e-03  9.269268e-16  2.834686e-03  64.79  3.868348e-02  3.868757e-02
  10  5.055679e-09  1.748058e-03  4.318127e-16  1.748769e-03  64.79  3.598593e-02  3.598979e-02
  11  3.775564e-15  2.187721e-03  4.719913e-16  2.188564e-03  64.58  3.092619e-02  3.092886e-02
  12  7.001100e-15  2.537387e-03  1.750483e-15  2.538517e-03  64.79  3.987249e-02  3.987646e-02
  13  5.265947e-15  1.491440e-03  9.874985e-16  1.492457e-03  64.58  3.078109e-02  3.078471e-02
  14  3.693057e-12  2.298030e-03  3.655813e-12  2.299359e-03  34.59  3.382000e-02  3.382496e-02
  15  2.809528e-12  2.101844e-03  2.583963e-12  2.103103e-03  35.11  3.416499e-02  3.416990e-02
  16  6.797845e-15  1.660636e-03  1.062320e-16  1.661795e-03  65.31  3.244202e-02  3.244732e-02
  17  4.295681e-13  2.054603e-03  8.950800e-16  2.055967e-03  65.20  3.039608e-02  3.040073e-02
  18  3.348656e-13  2.036286e-03  8.372916e-16  2.037455e-03  64.99  3.510004e-02  3.510617e-02
  19  5.968889e-15  1.448368e-03  4.264093e-16  1.449355e-03  65.83  2.852524e-02  2.853004e-02
  20  6.845098e-15  2.092666e-03  3.080730e-14  2.093774e-03  37.41  3.200075e-02  3.200565e-02
  21  4.677783e-14  1.727507e-03  6.182178e-14  1.728469e-03  37.51  3.065601e-02  3.066100e-02
  22  1.287743e-16  1.574304e-03  2.511428e-16  1.575179e-03  66.35  2.968131e-02  2.968568e-02
  23  6.796672e-15  1.859886e-03  1.614415e-14  1.860789e-03  37.72  2.874465e-02  2.874891e-02
  24  2.568265e-14  1.724101e-03  8.026815e-16  1.724942e-03  66.88  3.128358e-02  3.128823e-02
  25  2.464922e-15  1.389580e-03  6.676718e-16  1.390409e-03  67.08  2.646190e-02  2.646546e-02
  26  5.473141e-13  1.871084e-03  8.145530e-16  1.871890e-03  66.88  2.965929e-02  2.966377e-02
  27  3.192901e-15  1.483128e-03  1.596640e-14  1.483841e-03  39.81  2.766064e-02  2.766457e-02
  28  1.587108e-15  1.477101e-03  7.936517e-16  1.477821e-03  68.03  2.720986e-02  2.721344e-02
  29  7.099610e-14  1.661673e-03  8.068692e-16  1.662402e-03  67.50  2.669638e-02  2.670021e-02
  30  3.075203e-15  1.497624e-03  3.844450e-16  1.498273e-03  67.92  2.802714e-02  2.803093e-02
