iter  min_term_f  max_term_f  min_term_p  max_term_p  pct_terms_outside_posit_zone  pAp_f  pAp_p
   0  8.067235e-06  6.948104e+03  7.514468e-06  6.952936e+03  2.79  6.077615e+07  6.074035e+07
   1  3.289301e-08  3.862596e+03  3.600290e-08  3.873467e+03  18.55  3.200212e+06  3.205307e+06
   2  1.527338e-08  1.329917e+03  1.092853e-07  1.331791e+03  9.48  7.467688e+06  7.477751e+06
   3  8.289390e-09  5.969780e+03  1.046330e-08  5.980373e+03  26.42  2.192632e+06  2.195562e+06
   4  6.130684e-07  4.020245e+03  6.487987e-07  4.028154e+03  13.87  2.907620e+06  2.909624e+06
   5  3.230532e-09  1.930509e+03  4.994867e-09  1.930651e+03  25.12  8.597419e+05  8.608055e+05
   6  2.406250e-07  2.859116e+03  2.213012e-07  2.864768e+03  17.33  9.177751e+05  9.190322e+05
   7  6.654172e-11  9.393602e+02  1.562124e-09  9.398309e+02  23.37  3.764827e+05  3.770838e+05
   8  7.472122e-09  2.514209e+03  5.655462e-09  2.516821e+03  19.44  4.674599e+05  4.678965e+05
   9  1.415866e-09  2.444675e+03  1.175136e-09  2.447812e+03  18.68  2.873283e+05  2.878660e+05
  10  5.139802e-09  1.759170e+03  1.181977e-09  1.764965e+03  11.77  4.506453e+05  4.511065e+05
  11  2.012356e-08  8.560627e+03  4.877938e-09  8.579777e+03  13.85  4.362910e+05  4.370270e+05
  12  2.073629e-08  9.127133e+03  2.178557e-08  9.146427e+03  7.95  7.778387e+05  7.788501e+05
  13  7.409405e-07  7.411972e+03  1.320873e-07  7.408251e+03  1.54  8.348255e+05  8.363388e+05
  14  1.219279e-06  2.532678e+04  5.752755e-07  2.530726e+04  0.71  1.394906e+06  1.395290e+06
  15  4.091812e-07  8.395701e+03  4.124844e-07  8.296024e+03  0.92  1.258801e+06  1.258114e+06
  16  2.352793e-07  1.001510e+04  1.032262e-07  9.991877e+03  0.59  1.661302e+06  1.660612e+06
  17  6.091757e-07  9.770546e+03  5.204193e-08  9.734591e+03  0.50  1.061358e+06  1.060219e+06
  18  1.852405e-07  6.740035e+03  1.602906e-06  6.733900e+03  0.35  1.231689e+06  1.230360e+06
  19  1.892248e-06  6.163148e+03  4.545581e-07  6.103652e+03  0.11  7.571809e+05  7.564691e+05
  20  5.218369e-08  5.734345e+03  5.763416e-08  5.722673e+03  0.26  7.726805e+05  7.719386e+05
  21  3.683537e-06  3.870520e+03  1.511406e-06  3.855389e+03  0.03  6.941135e+05  6.932833e+05
  22  2.444912e-06  4.771919e+03  4.383280e-06  4.754677e+03  0.01  6.909365e+05  6.898544e+05
  23  6.913297e-06  6.003375e+03  1.139911e-06  5.978661e+03  0.01  8.094584e+05  8.085529e+05
  24  7.758559e-07  9.666225e+03  1.455957e-06  9.107107e+03  0.01  1.004107e+06  9.997468e+05
  25  1.547662e-06  2.229990e+04  1.155344e-07  2.168919e+04  0.01  1.126956e+06  1.119456e+06
  26  1.294924e-06  3.250071e+04  3.442788e-06  3.147449e+04  0.01  1.739271e+06  1.738913e+06
  27  7.676424e-09  1.919673e+04  1.239146e-06  1.855058e+04  0.01  1.521075e+06  1.541832e+06
  28  1.381209e-06  8.893570e+03  2.861458e-06  8.555824e+03  0.02  1.113461e+06  1.116919e+06
  29  2.033551e-06  5.744087e+03  3.527655e-06  4.246492e+03  0.02  8.537302e+05  8.442308e+05
  30  2.079420e-06  9.483101e+03  1.002639e-06  4.970782e+03  0.01  9.053701e+05  8.676458e+05
