iter  min_term_f  max_term_f  min_term_p  max_term_p  pct_terms_outside_posit_zone  pAp_f  pAp_p
   0  6.342081e-07  6.968054e+03  5.873906e-07  6.967311e+03  9.49  4.526731e+07  4.527800e+07
   1  2.047206e-08  4.121506e+03  3.121421e-08  4.119430e+03  23.42  7.043741e+05  7.042108e+05
   2  5.985609e-08  4.113539e+04  5.258287e-07  4.111065e+04  18.83  1.676635e+06  1.676547e+06
   3  3.537323e-08  4.363679e+04  6.922157e-08  4.359839e+04  19.40  1.986416e+06  1.986024e+06
   4  1.264490e-08  3.315641e+04  1.331307e-08  3.312475e+04  16.31  1.271442e+06  1.270754e+06
   5  2.710562e-08  9.139177e+03  7.160414e-09  9.127870e+03  20.49  5.922043e+05  5.919174e+05
   6  7.923490e-08  1.697928e+04  1.055192e-08  1.695940e+04  17.37  3.262674e+05  3.260936e+05
   7  2.395203e-08  2.133200e+04  4.120065e-09  2.131872e+04  18.42  8.812702e+05  8.807199e+05
   8  8.172586e-08  1.777602e+04  3.141123e-08  1.775412e+04  17.46  3.828532e+05  3.826294e+05
   9  1.092763e-08  1.864273e+04  1.872595e-09  1.863247e+04  17.87  4.462282e+05  4.459536e+05
  10  9.787469e-08  2.212261e+04  2.909428e-08  2.212401e+04  14.43  4.116722e+05  4.112308e+05
  11  8.108515e-09  2.832459e+04  1.024279e-07  2.841541e+04  15.65  4.571390e+05  4.555866e+05
  12  5.595267e-08  3.865353e+04  5.044791e-09  3.959669e+04  12.55  4.713768e+05  4.587430e+05
  13  3.568428e-07  4.313062e+04  2.265930e-07  4.254394e+04  6.45  7.064684e+05  6.518128e+05
  14  1.139985e-08  4.000507e+04  4.704590e-09  4.649397e+04  2.43  1.048274e+06  7.715782e+05
  15  8.750327e-07  7.943282e+04  2.290397e-07  7.671926e+04  0.38  1.274654e+06  1.406014e+06
  16  4.675905e-07  1.373403e+05  1.508326e-06  1.270959e+05  0.19  1.200982e+06  1.290046e+06
  17  2.443457e-08  1.208687e+05  2.399056e-07  1.271996e+05  3.14  1.213400e+06  1.371690e+06
  18  3.482275e-08  1.276346e+05  6.338031e-08  1.475374e+05  4.49  2.081817e+06  1.714302e+06
  19  8.843574e-08  1.243208e+05  5.483073e-08  1.116743e+05  0.69  1.742955e+06  1.728527e+06
  20  3.150620e-07  2.050858e+05  5.016135e-07  1.709801e+05  0.18  2.627953e+06  2.732602e+06
  21  2.875202e-07  1.809315e+05  8.862891e-08  1.861739e+05  0.05  1.819212e+06  2.019037e+06
  22  9.093206e-08  1.369179e+05  3.203066e-07  1.650378e+05  3.84  2.373826e+06  2.208071e+06
  23  3.583748e-07  8.412709e+04  6.867386e-08  9.362747e+04  2.27  1.877535e+06  1.750938e+06
  24  3.287376e-08  8.884923e+04  1.681129e-07  7.762855e+04  2.29  2.115944e+06  2.127086e+06
  25  1.122272e-07  8.935973e+04  6.790491e-07  9.464784e+04  0.49  1.387605e+06  1.434112e+06
  26  2.625354e-07  6.472769e+04  6.123657e-08  8.119785e+04  0.21  1.555536e+06  1.529041e+06
  27  1.205318e-08  4.497913e+04  7.611359e-08  5.302138e+04  5.25  1.235815e+06  1.071355e+06
  28  5.284821e-08  4.006613e+04  7.188642e-08  3.297097e+04  3.43  1.150417e+06  1.181195e+06
  29  1.212988e-07  4.664213e+04  1.422570e-07  3.118340e+04  2.61  1.131253e+06  1.159674e+06
  30  6.765664e-08  4.626038e+04  6.280397e-08  3.813126e+04  0.48  8.311298e+05  8.768912e+05
