iter  min_term_f  max_term_f  min_term_p  max_term_p  pct_terms_outside_posit_zone  pAp_f  pAp_p
   0  3.237818e-09  2.637659e-01  3.237818e-09  2.637658e-01  27.94  9.005671e+01  9.005676e+01
   1  5.050581e-10  2.978024e-01  5.040175e-10  2.978025e-01  17.52  2.526614e+01  2.526608e+01
   2  1.061146e-09  3.376925e-01  1.057918e-09  3.376933e-01  13.25  1.037425e+02  1.037425e+02
   3  3.389011e-09  3.291556e-01  3.389214e-09  3.291566e-01  13.93  4.210713e+01  4.210725e+01
   4  3.240655e-08  2.272171e-01  3.240613e-08  2.272178e-01  12.74  2.520140e+01  2.520150e+01
   5  9.174894e-09  1.288132e-01  9.174669e-09  1.288137e-01  15.59  1.869626e+01  1.869630e+01
   6  1.463323e-08  6.266562e-01  1.463841e-08  6.266590e-01  17.20  1.674705e+01  1.674710e+01
   7  6.072712e-10  9.893214e-01  7.893624e-10  9.893286e-01  20.16  2.024589e+01  2.024606e+01
   8  2.798477e-10  4.005420e-01  2.806672e-10  4.005450e-01  24.33  1.384798e+01  1.384808e+01
   9  9.415941e-10  9.148861e-02  9.009321e-10  9.148967e-02  27.62  6.299246e+00  6.299266e+00
  10  2.121499e-09  4.801520e-02  2.120958e-09  4.801526e-02  32.28  3.896835e+00  3.896859e+00
  11  4.809227e-10  4.575738e-02  4.848426e-10  4.575760e-02  35.65  2.236420e+00  2.236428e+00
  12  4.400799e-11  3.635969e-02  4.419754e-11  3.636010e-02  34.85  2.572812e+00  2.572830e+00
  13  1.378339e-09  4.049003e-02  1.378809e-09  4.049068e-02  38.07  1.689447e+00  1.689468e+00
  14  1.566753e-09  3.415876e-02  1.568276e-09  3.415923e-02  36.24  1.580521e+00  1.580539e+00
  15  3.163809e-10  3.610020e-02  3.141542e-10  3.610078e-02  34.43  1.822004e+00  1.822018e+00
  16  9.675978e-10  5.962300e-02  9.558528e-10  5.962370e-02  33.82  1.563523e+00  1.563533e+00
  17  1.240982e-09  5.607261e-02  1.225374e-09  5.607353e-02  34.36  2.396778e+00  2.396810e+00
  18  4.555215e-09  2.311657e-02  4.555574e-09  2.311673e-02  36.04  1.863057e+00  1.863080e+00
  19  1.566249e-09  2.896463e-02  1.563782e-09  2.896485e-02  36.99  1.389735e+00  1.389754e+00
  20  6.631116e-09  2.564017e-02  6.634920e-09  2.564093e-02  36.55  9.853076e-01  9.853197e-01
  21  9.760303e-10  3.498362e-02  8.750296e-10  3.498348e-02  35.70  1.545810e+00  1.545830e+00
  22  2.895913e-10  2.138499e-02  2.908728e-10  2.138512e-02  38.80  1.000256e+00  1.000265e+00
  23  3.007978e-09  1.066521e-02  3.030717e-09  1.066537e-02  40.65  9.531829e-01  9.531947e-01
  24  6.473773e-10  1.094303e-02  6.479086e-10  1.094344e-02  47.76  6.595145e-01  6.595266e-01
  25  4.245311e-10  1.178251e-02  4.256299e-10  1.178297e-02  58.32  6.252620e-01  6.252755e-01
  26  1.656680e-10  5.932090e-03  1.658910e-10  5.932419e-03  67.01  2.614220e-01  2.614275e-01
  27  1.428733e-10  2.017035e-03  1.423922e-10  2.015915e-03  74.72  1.899882e-01  1.899931e-01
  28  2.407401e-10  1.995403e-03  2.726233e-10  1.993812e-03  78.60  1.029740e-01  1.029762e-01
  29  1.058533e-10  2.591082e-03  1.060567e-10  2.587397e-03  76.70  9.678512e-02  9.678391e-02
  30  1.721451e-10  4.655038e-03  1.710950e-10  4.648139e-03  77.70  1.290247e-01  1.290145e-01
