iter  alpha_d          alpha_f          alpha_p          relL2_p_f_vs_d   relL2_p_p_vs_d   relL2_p_f_vs_p
   0  2.278057e+00  2.278061e+00  2.278133e+00  2.348233e-06  5.022737e-05  4.787761e-05
   1  1.144405e+00  1.144400e+00  1.144310e+00  6.888930e-06  8.170995e-05  7.495983e-05
   2  2.030896e+00  2.030916e+00  2.031422e+00  1.027369e-05  3.230595e-04  3.129011e-04
   3  4.574394e+00  4.574378e+00  4.574211e+00  1.104252e-05  1.094344e-04  1.022379e-04
   4  1.034828e+00  1.034830e+00  1.034822e+00  1.824059e-05  9.710652e-05  8.076138e-05
   5  1.577522e+00  1.577506e+00  1.577183e+00  1.158472e-04  8.009609e-04  9.034113e-04
   6  6.482127e-01  6.482109e-01  6.481617e-01  9.378113e-05  1.867050e-03  1.777543e-03
   7  1.205163e+00  1.205151e+00  1.205266e+00  6.576879e-05  3.861885e-03  3.792267e-03
   8  1.112291e+00  1.112299e+00  1.112213e+00  1.191247e-04  1.433610e-02  1.432162e-02
   9  2.429672e+00  2.429661e+00  2.429667e+00  1.024463e-03  2.289538e-02  2.159765e-02
  10  1.525478e+00  1.525476e+00  1.524989e+00  2.214291e-03  3.283858e-02  3.419823e-02
  11  2.622537e+00  2.622506e+00  2.622074e+00  8.278679e-03  3.071487e-02  2.284510e-02
  12  1.013931e+00  1.013934e+00  1.013381e+00  1.760601e-02  2.446663e-02  4.047708e-02
  13  1.225291e+00  1.225322e+00  1.220945e+00  2.455607e-02  5.356124e-02  3.165136e-02
  14  7.825338e-01  7.825274e-01  7.841102e-01  4.252314e-03  7.689544e-02  8.061400e-02
  15  1.057188e+00  1.057169e+00  1.059385e+00  1.257889e-02  1.410713e-01  1.531584e-01
  16  1.154211e+00  1.154181e+00  1.155277e+00  4.150913e-02  2.785518e-01  2.490682e-01
  17  1.290189e+00  1.289969e+00  1.293015e+00  1.961747e-01  5.281676e-01  8.134607e-01
  18  1.102149e+00  1.098488e+00  1.119971e+00  4.117308e-01  8.473959e-01  1.243288e+00
  19  1.329883e+00  1.313362e+00  1.385856e+00  8.972463e-01  9.540530e-01  2.262316e+00
  20  9.691483e-01  8.439527e-01  1.194406e+00  9.092299e-01  9.963372e-01  4.477097e+00
  21  1.303034e+00  1.113758e+00  1.923557e+00  8.525436e-01  9.970498e-01  1.007312e+01
  22  9.524429e-01  8.433542e-01  1.482199e+00  8.129971e-01  9.995329e-01  6.256669e+01
  23  1.305312e+00  1.082275e+00  2.228090e+00  6.250415e-01  9.998336e-01  2.227685e+02
  24  1.221727e+00  1.144906e+00  1.371178e+00  9.094732e-01  1.000007e+00  1.428071e+02
  25  1.445257e+00  1.313988e+00  1.337628e+00  9.815688e-01  1.000180e+00  6.445207e+01
  26  1.905117e+00  1.613069e+00  1.098223e+00  9.998221e-01  9.997776e-01  1.315451e+01
  27  1.953240e+00  2.396792e+00  8.945696e-01  9.976405e-01  9.979914e-01  5.734549e+00
  28  1.926252e+00  1.612392e+00  9.352879e-01  9.929183e-01  9.692465e-01  8.630042e-01
  29  1.234537e+00  1.521319e+00  1.497167e+00  9.976086e-01  9.855247e-01  4.534271e-01
