iter rel_error rel_residual
0 4.6570131921e+00 1.4542609331e-01
1 5.6766227975e+00 3.3502175534e-02
2 4.4462482987e+00 3.2501341460e-02
3 4.1481043536e+00 9.5961698258e-03
4 4.4630934158e+00 1.4095035962e-02
5 3.8528747668e+00 7.4563821172e-03
6 3.3234219520e+00 5.5530488846e-03
7 2.9434941121e+00 6.5932454759e-03
8 2.7200615512e+00 3.7248129012e-03
9 2.5979316387e+00 7.8883663421e-03
10 2.5393804484e+00 2.4919043878e-03
11 2.5070297808e+00 3.2343409652e-03
12 2.5054352770e+00 2.9757556228e-03
13 2.5631245916e+00 2.7444651801e-03
14 2.4984417323e+00 2.6557029747e-03
15 2.3778348870e+00 2.8070907481e-03
16 2.3696470814e+00 1.3024689236e-03
17 2.3745769780e+00 9.6196216140e-04
18 2.3811342664e+00 1.2215676835e-03
19 2.3511143667e+00 1.0988032524e-03
20 2.3375850352e+00 6.9443919848e-04
21 2.3546137678e+00 1.0000514674e-03
22 2.3925135688e+00 8.1921113243e-04
23 2.4040841497e+00 1.2040810271e-03
24 2.3768957538e+00 7.5264040226e-04
25 2.3151424251e+00 1.2559028162e-03
26 2.2619474892e+00 6.4604842799e-04
27 2.2195967030e+00 8.0159416122e-04
28 2.1721292166e+00 1.0113626073e-03
29 2.2087541815e+00 4.7777354649e-04
30 2.2009144091e+00 7.7898807735e-04
31 2.1735438773e+00 4.7551287110e-04
32 2.1776734172e+00 5.0199725047e-04
33 2.1867706083e+00 6.8902370435e-04
34 2.2083405625e+00 4.2972284847e-04
35 2.2093890013e+00 2.2005810241e-04
36 2.1881390465e+00 2.9188756156e-04
37 2.1618900276e+00 2.0966412841e-04
38 2.1379726943e+00 2.5294219615e-04
39 2.0916617599e+00 2.7698039123e-04
40 2.0919465562e+00 1.8994553816e-04
41 2.0826665788e+00 2.5884399309e-04
42 2.0662191398e+00 2.6221685201e-04
43 2.0471506964e+00 2.6987883334e-04
44 2.0277650593e+00 2.0544507038e-04
45 2.0161367140e+00 1.9490735290e-04
46 2.0174063942e+00 2.8873369697e-04
47 2.0003188227e+00 2.0671375124e-04
48 1.9947506683e+00 1.0948349042e-04
49 1.9768762842e+00 1.4199228844e-04
50 1.9679206628e+00 1.4592501119e-04
51 1.9536065826e+00 1.1833118431e-04
52 1.9472149329e+00 1.1654686888e-04
53 1.9358402050e+00 1.2417298038e-04
54 1.9278691628e+00 1.8117853355e-04
55 1.9223344685e+00 2.7380162514e-04
56 1.9157003440e+00 9.4742947156e-05
57 1.9116920080e+00 8.3686255965e-05
58 1.9056598867e+00 4.6746573935e-05
59 1.8922002783e+00 1.0512643492e-04
60 1.8705551097e+00 7.8260456753e-05
61 1.8535575606e+00 7.4733727104e-05
62 1.8170314612e+00 1.2706507399e-04
63 1.7020722052e+00 1.3380696730e-04
64 1.6688208275e+00 1.0837242706e-04
65 1.5947009625e+00 1.1722327493e-04
66 1.5418508717e+00 1.8634487530e-04
67 1.4568228238e+00 2.4433862289e-04
68 1.1529423086e+00 2.0775349377e-04
69 1.1114155453e+00 4.3654096447e-05
70 1.1009602060e+00 4.6673211821e-05
71 1.0932569153e+00 5.1516113835e-05
72 1.0747846831e+00 4.0662852327e-05
73 1.0685308590e+00 2.4388858448e-05
74 1.0614943258e+00 3.7114461962e-05
75 1.0568614464e+00 4.1349330077e-05
76 1.0457872616e+00 5.0351612769e-05
77 1.0409374664e+00 3.9097488070e-05
78 1.0302216782e+00 2.2814804176e-05
79 1.0271594064e+00 3.6815113961e-05
80 1.0206040434e+00 5.0512051075e-05
81 1.0110862997e+00 3.0511890617e-05
82 9.9961669331e-01 4.5003024134e-05
83 9.7121761933e-01 6.8910218398e-05
84 9.3881951207e-01 4.6220885545e-05
85 9.3134270767e-01 3.9244384534e-05
86 9.2831143333e-01 3.1097920800e-05
87 9.2334485784e-01 1.7171298759e-05
88 9.1981318879e-01 3.5814623361e-05
89 9.1350356258e-01 4.0731209600e-05
90 8.8709576223e-01 5.3443754847e-05
91 8.6592792439e-01 5.9471655552e-05
92 8.3287222472e-01 9.9026252965e-05
93 8.0900948339e-01 3.9609126093e-04
94 7.1006256293e-01 1.9561620597e-04
95 6.7304793477e-01 5.4382684510e-05
96 6.6858617148e-01 3.6762735559e-05
97 6.1562076251e-01 1.2219699428e-04
98 6.0601274752e-01 1.0754740836e-04
99 6.1157375327e-01 6.6995402747e-05
100 6.1041348106e-01 5.7434147627e-05
101 6.0794818553e-01 4.6490777324e-05
102 6.0421322318e-01 6.0594258003e-05
103 5.9758869695e-01 9.1316534388e-06
104 5.9481422502e-01 1.8079008810e-05
105 5.6420530919e-01 5.1130008114e-05
106 5.1270624854e-01 3.8158958079e-05
107 4.9249844767e-01 2.9484127301e-05
108 4.6274557601e-01 6.2172042939e-05
109 1.0268026246e-01 2.0862200702e-05
110 9.6194117876e-02 1.1322674184e-05
111 4.0184110454e-02 8.5470104050e-05
112 5.4127725629e-03 1.6935596433e-05
113 4.7481569747e-03 8.3954140310e-06
114 4.6943096689e-03 3.2362975341e-06
115 4.6464680574e-03 2.1760239194e-06
116 4.4153727761e-03 2.0478855807e-06
117 2.5433149431e-03 4.0782400584e-06
