iter rel_error rel_residual
0 1.6773891656e-01 4.3912035386e-02
1 1.0783996551e-01 1.7512762924e-02
2 7.6139556167e-02 9.5125680258e-03
3 6.0452370260e-02 5.9244898566e-03
4 5.1031202029e-02 4.0622805925e-03
5 4.4477774371e-02 2.8487702128e-03
6 3.9418468863e-02 2.1340036764e-03
7 3.5370570540e-02 1.6393396538e-03
8 3.2173539241e-02 1.3055029165e-03
9 2.9626125030e-02 1.0355269498e-03
10 2.7457690123e-02 8.6178156278e-04
11 2.5479010005e-02 7.1635256582e-04
12 2.3663405696e-02 6.0514391018e-04
13 2.1983071987e-02 5.3402804964e-04
14 2.0365152139e-02 4.7476966305e-04
15 1.8837583705e-02 4.1450482777e-04
16 1.7286426370e-02 3.7555619956e-04
17 1.5685900260e-02 3.5623042109e-04
18 1.4137349139e-02 3.2603696558e-04
19 1.2749734472e-02 2.9618898584e-04
20 1.1505782383e-02 2.5735435326e-04
21 1.0394649677e-02 2.2566576561e-04
22 9.4111598996e-03 1.9900580983e-04
23 8.5330795865e-03 1.8074923422e-04
24 7.7465884767e-03 1.6175222654e-04
25 7.0212309371e-03 1.4339112251e-04
26 6.3528466172e-03 1.3012719633e-04
27 5.7497607406e-03 1.1887127213e-04
28 5.2131651821e-03 1.0977193894e-04
29 4.7318686662e-03 1.0275282570e-04
30 4.2764912475e-03 9.6185279906e-05
31 3.8511966319e-03 8.9094904547e-05
32 3.4724455376e-03 8.1757396306e-05
33 3.1319445137e-03 7.5162846372e-05
34 2.8398743862e-03 6.8410576478e-05
35 2.5915607453e-03 6.0533952970e-05
36 2.3740052118e-03 5.4574388344e-05
37 2.1846779173e-03 4.9076657600e-05
38 2.0137871625e-03 4.4789394324e-05
39 1.8583133894e-03 4.0446184708e-05
40 1.7117942043e-03 3.6360788648e-05
41 1.5743800793e-03 3.2084411681e-05
42 1.4492362145e-03 2.9264415367e-05
43 1.3284126775e-03 2.7161478590e-05
44 1.2128555115e-03 2.4866479602e-05
45 1.1074277465e-03 2.2700946964e-05
46 1.0023817260e-03 2.0885496505e-05
47 9.0556144755e-04 1.9286306683e-05
48 8.1719781502e-04 1.8019190176e-05
49 7.3809013969e-04 1.6376775211e-05
50 6.6838405532e-04 1.4683265284e-05
51 6.0925626918e-04 1.3003036758e-05
52 5.5663568108e-04 1.1729488009e-05
53 5.0727124884e-04 1.0903785762e-05
54 4.5990176840e-04 1.0158600401e-05
55 4.1702843785e-04 9.3298986993e-06
56 3.7765415200e-04 8.6887602294e-06
57 3.4130517817e-04 8.1010449985e-06
58 3.0813122386e-04 7.6581948602e-06
59 2.7767549704e-04 7.1390461911e-06
60 2.5012261616e-04 6.5701561340e-06
61 2.2625933135e-04 5.9731533394e-06
62 2.0565187429e-04 5.4072107286e-06
63 1.8779942280e-04 4.9223463932e-06
64 1.7188021385e-04 4.4937585678e-06
65 1.5766140980e-04 4.1253521641e-06
66 1.4450004680e-04 3.6833878261e-06
67 1.3217816007e-04 3.4102004946e-06
68 1.2086212169e-04 3.1213130916e-06
69 1.1091896317e-04 2.8184921059e-06
70 1.0185712202e-04 2.5415376869e-06
71 9.3683239430e-05 2.3191407857e-06
72 8.6116214596e-05 2.0838524592e-06
73 7.8873012490e-05 1.9368826368e-06
74 7.1990487757e-05 1.7910025116e-06
75 6.5294418210e-05 1.6593974085e-06
76 5.8899165348e-05 1.5108353547e-06
77 5.3048876869e-05 1.3883330691e-06
78 4.7887654410e-05 1.2315017911e-06
79 4.3381563498e-05 1.0986475732e-06
80 3.9432358055e-05 9.8909519653e-07
81 3.5797401324e-05 9.0553681032e-07
82 3.2494577664e-05 8.2191615550e-07
83 2.9520841785e-05 7.2482474039e-07
84 2.6725506307e-05 6.8420277874e-07
85 2.4067920054e-05 6.4529558496e-07
86 2.1578949912e-05 5.8214172458e-07
87 1.9341493368e-05 5.2706514055e-07
88 1.7380341296e-05 4.6579356340e-07
89 1.5708426256e-05 4.2161987831e-07
90 1.4236096185e-05 3.8150476795e-07
91 1.2921859263e-05 3.4034066681e-07
92 1.1754341484e-05 3.0861675067e-07
93 1.0740233973e-05 2.7540124779e-07
94 9.8234348925e-06 2.4436732851e-07
95 8.9848989278e-06 2.1667930568e-07
96 8.2106637012e-06 1.9961373330e-07
97 7.4885494525e-06 1.7641623511e-07
98 6.8090604196e-06 1.6282072118e-07
99 6.1927705841e-06 1.4740978758e-07
100 5.6581022536e-06 1.3077656933e-07
101 5.1736085474e-06 1.1784827140e-07
102 4.7216519624e-06 1.0674846398e-07
103 4.3067494560e-06 9.7259348217e-08
104 3.9279837170e-06 9.0698345702e-08
105 3.5786268883e-06 8.2139608495e-08
106 3.2604105163e-06 7.2825824358e-08
107 2.9698932174e-06 6.4939458936e-08
108 2.7011960469e-06 5.9813919537e-08
109 2.4470835430e-06 5.5338071818e-08
110 2.2066529649e-06 5.0871467321e-08
111 1.9766843174e-06 4.6911100389e-08
112 1.7615674491e-06 4.2953922783e-08
113 1.5742768230e-06 3.8377625872e-08
114 1.4165724315e-06 3.4495133520e-08
115 1.2794088279e-06 3.1478989048e-08
116 1.1561715761e-06 2.9096784005e-08
117 1.0483151640e-06 2.5798121776e-08
118 9.5897968546e-07 2.2837150668e-08
119 8.7967274373e-07 2.0598365522e-08
120 8.0451159924e-07 1.9002298728e-08
121 7.3238090069e-07 1.7493355416e-08
122 6.6437988495e-07 1.6035751175e-08
123 6.0107308245e-07 1.4552199068e-08
124 5.4181283381e-07 1.3307482663e-08
125 4.9058153749e-07 1.1924404828e-08
126 4.4481660864e-07 1.0769342281e-08
127 4.0344285366e-07 9.6090325185e-09
128 3.6675784438e-07 8.6360069057e-09
129 3.3390595003e-07 7.9429725653e-09
130 3.0385835407e-07 7.1770295035e-09
131 2.7704177942e-07 6.5080358240e-09
132 2.5329300724e-07 5.7871784783e-09
133 2.3230453998e-07 5.1832312640e-09
134 2.1264615336e-07 4.6892413727e-09
135 1.9465988099e-07 4.2621097997e-09
136 1.7823168485e-07 3.8862837962e-09
137 1.6245705895e-07 3.6530732463e-09
138 1.4695139979e-07 3.4202297867e-09
139 1.3237182090e-07 3.1469606997e-09
140 1.1897380850e-07 2.9170076450e-09
141 1.0700420893e-07 2.6564013737e-09
142 9.6268257557e-08 2.4444580125e-09
143 8.6680431233e-08 2.2046661581e-09
144 7.8374498285e-08 1.9711881403e-09
145 7.0903669247e-08 1.8154941496e-09
146 6.3974502816e-08 1.6419647114e-09
147 5.7921794858e-08 1.4744633868e-09
148 5.2634523134e-08 1.3360785510e-09
149 4.7895982235e-08 1.2216047378e-09
150 4.3654928881e-08 1.0919907048e-09
151 3.9838819227e-08 9.7458699031e-10
152 3.6352397668e-08 8.9737804983e-10
153 3.3117948710e-08 8.1277640966e-10
154 3.0013019851e-08 7.4362805070e-10
155 2.7167407930e-08 6.6303963855e-10
156 2.4638304283e-08 6.0279329950e-10
157 2.2328356689e-08 5.5601812828e-10
158 2.0224234118e-08 5.0872239309e-10
159 1.8293360395e-08 4.6012078502e-10
160 1.6510075763e-08 4.1738213027e-10
161 1.4897616824e-08 3.7347840829e-10
162 1.3475366723e-08 3.3427404475e-10
163 1.2175919081e-08 3.0605158243e-10
164 1.0989800116e-08 2.7193989277e-10
165 9.9460075911e-09 2.4173924639e-10
166 9.0143463911e-09 2.1501176289e-10
167 8.1740093381e-09 2.0009835332e-10
168 7.3902904583e-09 1.7977686324e-10
169 6.6779445566e-09 1.6367336276e-10
170 6.0532161916e-09 1.4736369432e-10
171 5.4883842478e-09 1.3388636813e-10
172 4.9521590334e-09 1.2286156220e-10
173 4.4602801856e-09 1.1011454571e-10
174 4.0270160654e-09 1.0028987709e-10
175 3.6372082353e-09 9.0823891840e-11
