iter rel_error rel_residual
0 9.2223571360e+01 1.5433815017e-01
1 3.8361250106e+01 3.2793061138e-02
2 5.0511823178e+01 1.2451623245e-02
3 2.4253072445e+01 7.5823047569e-03
4 2.7963192412e+01 2.3025079996e-03
5 2.2789369088e+01 1.8708297627e-03
6 1.9291337523e+01 9.1939816709e-04
7 1.7184449250e+01 4.0370163380e-04
8 1.2850907198e+01 1.4973288721e-04
9 1.4307422409e+01 1.8574544806e-04
10 5.7129078832e+00 1.0887273946e-04
11 9.3057285624e+00 1.1827864692e-04
12 4.3510573970e+00 6.6695469868e-05
13 3.2160532992e+00 3.4439160265e-05
14 4.8812174710e+00 1.3640199142e-05
15 3.3070119828e+00 5.8446054884e-06
16 3.5079629859e+00 3.8121202433e-06
17 3.2361148312e+00 1.9121631955e-06
18 3.0710519669e+00 9.5291141505e-07
19 2.8698009663e+00 3.9118099995e-07
20 2.4837112121e+00 4.6910085410e-07
21 1.8307981101e+00 7.3207928000e-07
22 6.2044523714e-01 3.9735909717e-07
23 1.6290331978e-01 2.4347238537e-07
24 3.8020773384e-02 1.2691534647e-07
25 7.9538505733e-03 5.2492429192e-08
26 1.9286857635e-03 1.9733796946e-08
27 6.4883230103e-04 8.7746327389e-09
28 4.0698670523e-04 5.3378875919e-09
29 2.9453293077e-04 2.3875671666e-09
30 2.3993966919e-04 1.9068277217e-09
31 1.5606278363e-04 1.8254261561e-09
32 8.0930245686e-05 1.2196478793e-09
33 2.9002892243e-05 6.6486200603e-10
34 1.2934883050e-05 4.6545772314e-10
35 5.8018449354e-06 2.0136513818e-10
36 2.4857864860e-06 6.2646605199e-11
