iter rel_error rel_residual
0 9.2555238410e-01 3.6805307823e-01
1 9.0801518853e-01 1.9770909855e-01
2 8.8122874063e-01 1.2291977561e-01
3 8.6408352420e-01 7.4830959184e-02
4 8.4548766964e-01 5.8325165355e-02
5 8.1996138520e-01 4.7492613845e-02
6 7.9884648186e-01 4.6397701317e-02
7 7.8584809217e-01 3.7611982970e-02
8 7.7440661538e-01 3.5341858474e-02
9 7.6502697203e-01 2.9492769306e-02
10 7.5655769936e-01 2.9742073835e-02
11 7.4715958718e-01 2.1156386517e-02
12 7.3861149128e-01 1.6281199477e-02
13 7.3104479781e-01 1.6394750209e-02
14 7.2293634739e-01 1.1786276419e-02
15 7.1530957025e-01 1.3129392984e-02
16 7.0937720735e-01 1.3879058766e-02
17 7.0386411376e-01 1.3178884117e-02
18 6.9869564424e-01 1.1870410003e-02
19 6.9412777224e-01 9.4729631002e-03
20 6.8932577528e-01 9.0333997185e-03
21 6.8488751442e-01 9.9816610197e-03
22 6.7914858009e-01 1.0099424529e-02
23 6.7284035770e-01 9.0534657043e-03
24 6.6648656976e-01 8.6847621846e-03
25 6.6055869098e-01 9.1286106517e-03
26 6.5538198683e-01 8.8007015077e-03
27 6.5002438827e-01 8.8969392558e-03
28 6.4514256988e-01 1.0303082480e-02
29 6.4018857766e-01 1.0170788117e-02
30 6.3661046733e-01 1.2768272861e-02
31 6.3333953720e-01 9.4458659768e-03
32 6.2959360446e-01 6.2075503563e-03
33 6.2574860882e-01 6.2297482859e-03
34 6.2244663752e-01 5.9076014149e-03
35 6.1949014297e-01 4.7228711291e-03
36 6.1690069679e-01 4.7251705902e-03
37 6.1409822604e-01 4.3873433051e-03
38 6.1117436770e-01 4.1791219607e-03
39 6.0817098643e-01 4.1207800695e-03
40 6.0494222549e-01 3.7893607593e-03
41 6.0135784262e-01 4.3405866607e-03
42 5.9777347694e-01 3.6699210133e-03
43 5.9431291642e-01 3.7948787117e-03
44 5.9129212832e-01 3.4741550885e-03
45 5.8862313392e-01 3.2378169616e-03
46 5.8581067769e-01 3.3396936930e-03
47 5.8244603539e-01 3.3216023287e-03
48 5.7926821363e-01 2.8615608851e-03
49 5.7589454728e-01 3.4043416522e-03
50 5.7225196019e-01 3.2568249962e-03
51 5.6879292464e-01 3.3675284482e-03
52 5.6527383341e-01 2.9022008786e-03
53 5.6175526923e-01 3.2574306142e-03
54 5.5823042841e-01 3.1295328584e-03
55 5.5442044224e-01 3.1839593299e-03
56 5.5044303626e-01 3.4199569658e-03
57 5.4672662993e-01 3.5355078849e-03
58 5.4315169886e-01 3.6553724916e-03
59 5.3914511084e-01 3.4926971418e-03
60 5.3549887341e-01 3.1927904176e-03
61 5.3188678839e-01 3.1408322003e-03
62 5.2809771639e-01 3.5004645329e-03
63 5.2378837702e-01 3.9263857357e-03
64 5.1943552399e-01 4.1385956238e-03
65 5.1511026980e-01 3.7229236599e-03
66 5.1047186651e-01 3.3756621650e-03
67 5.0654556527e-01 3.6571022547e-03
68 5.0290199572e-01 3.3078425954e-03
69 4.9961060593e-01 2.9653696669e-03
70 4.9693551721e-01 2.8421954977e-03
71 4.9442866467e-01 2.4949323236e-03
72 4.9238086860e-01 2.4543458027e-03
73 4.9049055472e-01 2.6913535115e-03
74 4.8888725596e-01 3.0954783186e-03
75 4.8724656841e-01 2.9317294419e-03
76 4.8547835749e-01 2.2442305833e-03
77 4.8367969325e-01 1.9553859274e-03
78 4.8193083052e-01 2.3357912618e-03
79 4.8039142507e-01 3.7836025410e-03
80 4.7913670918e-01 2.9817382708e-03
81 4.7759700645e-01 2.1778609772e-03
82 4.7621593520e-01 2.1400530609e-03
83 4.7490251235e-01 1.8520367475e-03
84 4.7372512463e-01 1.6333107814e-03
85 4.7260799263e-01 1.6870915171e-03
86 4.7167197086e-01 1.8209683967e-03
87 4.7098199762e-01 2.2117436710e-03
88 4.7043348033e-01 2.8743299331e-03
89 4.6994407490e-01 1.9499918216e-03
90 4.6933219764e-01 1.5757123514e-03
91 4.6875437086e-01 1.3851610479e-03
