iter rel_error rel_residual
0 1.0578388428e+00 4.1976316402e-01
1 1.1522975648e+00 2.2420998194e-01
2 1.0063258470e+00 1.8432024526e-01
3 9.4606311788e-01 1.4146545979e-01
4 9.3886165152e-01 1.0745850605e-01
5 9.0958798600e-01 8.2941490236e-02
6 8.8279579763e-01 6.2132769428e-02
7 8.6933049142e-01 3.9967816476e-02
8 8.5902070414e-01 2.3632265383e-02
9 8.5255096765e-01 1.5651826103e-02
10 8.4622365310e-01 1.2592722019e-02
11 8.3762672490e-01 1.0988854732e-02
12 8.2977541663e-01 1.1271418231e-02
13 8.2008590293e-01 1.0817041062e-02
14 8.0570582127e-01 1.2178377836e-02
15 7.9340518107e-01 1.1353831751e-02
16 7.8272885296e-01 1.0703030773e-02
17 7.7131441431e-01 9.8797357692e-03
18 7.6394358344e-01 8.3196450027e-03
19 7.5809210814e-01 7.9529423601e-03
20 7.5084651997e-01 6.5970603755e-03
21 7.4503914577e-01 5.5386799019e-03
22 7.4009808745e-01 5.7602013175e-03
23 7.3456494003e-01 5.6816091890e-03
24 7.2927355132e-01 6.2592191475e-03
25 7.2473860763e-01 5.1243165469e-03
26 7.1979954478e-01 5.3037246191e-03
27 7.1492217683e-01 5.3643917921e-03
28 7.1073787082e-01 4.3513866930e-03
29 7.0681162437e-01 4.2639974456e-03
30 7.0359163646e-01 3.7803813105e-03
31 7.0122645449e-01 3.1827366137e-03
32 6.9910119221e-01 3.1939500136e-03
33 6.9719335125e-01 3.0607224846e-03
34 6.9552211457e-01 2.9485666020e-03
35 6.9382643360e-01 2.7377344926e-03
36 6.9212870777e-01 2.8058594253e-03
37 6.9061072954e-01 2.8139455492e-03
38 6.8914761234e-01 2.7926907620e-03
39 6.8793992502e-01 2.4950474438e-03
40 6.8687263946e-01 2.2088093035e-03
41 6.8595367580e-01 1.9776734626e-03
42 6.8509777233e-01 1.8221238331e-03
43 6.8426835609e-01 1.9704593799e-03
44 6.8332831880e-01 1.9035465799e-03
45 6.8232945709e-01 1.8872237153e-03
46 6.8140832491e-01 1.8570205277e-03
47 6.8061734591e-01 1.8869196671e-03
48 6.7996726381e-01 1.7067743903e-03
49 6.7948150171e-01 1.3068420820e-03
50 6.7901342350e-01 1.4077126274e-03
51 6.7851805658e-01 1.2955889673e-03
52 6.7798947955e-01 1.2177273121e-03
53 6.7738291388e-01 1.3658582528e-03
54 6.7669190950e-01 1.1760134363e-03
55 6.7604794606e-01 1.1440847536e-03
56 6.7544725914e-01 1.0417825661e-03
57 6.7488108813e-01 1.0766598289e-03
58 6.7437588891e-01 1.0704781835e-03
59 6.7386111312e-01 9.7748207833e-04
60 6.7328511764e-01 1.0886946681e-03
61 6.7254502346e-01 9.7962338225e-04
62 6.7174136815e-01 9.2765755094e-04
63 6.7095028623e-01 1.0865415485e-03
64 6.7016556226e-01 9.6439271342e-04
65 6.6949150531e-01 9.2506769379e-04
66 6.6889220094e-01 8.6756113284e-04
67 6.6836572815e-01 7.5086426092e-04
68 6.6788208325e-01 7.6131692428e-04
69 6.6734846597e-01 7.6437645632e-04
70 6.6678807031e-01 7.7800888037e-04
71 6.6618974878e-01 7.1261105633e-04
72 6.6555625363e-01 7.7229001251e-04
73 6.6496699309e-01 7.6673760793e-04
74 6.6438177092e-01 7.2730208114e-04
75 6.6388607738e-01 7.7630266314e-04
76 6.6342934600e-01 7.2393393290e-04
77 6.6294793941e-01 7.0837920828e-04
78 6.6245598578e-01 7.0336629586e-04
79 6.6194641460e-01 6.7540485685e-04
80 6.6146407012e-01 5.9804683115e-04
81 6.6102544523e-01 6.0987662350e-04
82 6.6060492351e-01 5.9702638497e-04
83 6.6022413144e-01 6.0178841574e-04
84 6.5986885325e-01 5.9568149466e-04
85 6.5954018208e-01 5.7861115712e-04
86 6.5921570941e-01 5.5402424091e-04
87 6.5886057252e-01 4.9948487130e-04
88 6.5850837390e-01 5.2068927147e-04
89 6.5814763252e-01 5.2519774557e-04
90 6.5778699919e-01 4.8109068151e-04
91 6.5743502498e-01 5.0955628156e-04
92 6.5710745354e-01 5.0748382147e-04
93 6.5679220203e-01 5.3368460887e-04
94 6.5644046866e-01 5.3083835012e-04
95 6.5604866500e-01 5.5492049295e-04
96 6.5564760538e-01 5.7161408544e-04
97 6.5520090228e-01 4.9433746747e-04
98 6.5477492581e-01 4.9626360786e-04
99 6.5436759636e-01 5.0629987936e-04
100 6.5396653453e-01 5.1822929400e-04
101 6.5357380210e-01 5.0720881202e-04
102 6.5316647938e-01 5.1379218211e-04
103 6.5273924900e-01 5.2378748036e-04
104 6.5231072368e-01 5.2740295154e-04
105 6.5185220951e-01 4.7133276650e-04
106 6.5139283553e-01 4.6069070149e-04
107 6.5093960289e-01 4.5640684927e-04
108 6.5045726088e-01 4.6161962223e-04
109 6.4996811792e-01 4.8129957954e-04
110 6.4948539028e-01 4.6511400475e-04
111 6.4896813131e-01 4.8441982125e-04
112 6.4844476607e-01 5.3886958747e-04
113 6.4789775429e-01 5.5241084499e-04
114 6.4736312272e-01 5.8597767730e-04
115 6.4678575982e-01 6.0626850901e-04
116 6.4621792741e-01 6.0439722696e-04
117 6.4563818814e-01 5.7807187389e-04
118 6.4507473767e-01 5.4692317624e-04
119 6.4445471231e-01 5.1870681582e-04
120 6.4381482817e-01 5.2124282260e-04
121 6.4318584660e-01 4.8716297288e-04
122 6.4256669655e-01 4.8551756885e-04
123 6.4191530710e-01 4.4333344492e-04
124 6.4128583565e-01 4.9971395846e-04
125 6.4069188116e-01 5.1321217192e-04
126 6.4011611864e-01 4.8703024577e-04
127 6.3956675223e-01 4.8493189790e-04
128 6.3895088269e-01 4.5198714167e-04
129 6.3833723460e-01 4.9465086672e-04
130 6.3767911719e-01 4.9809279054e-04
131 6.3704395883e-01 5.3104332446e-04
132 6.3639276343e-01 5.4685773386e-04
133 6.3573026147e-01 5.8007896800e-04
134 6.3509783543e-01 5.3726229029e-04
135 6.3444191378e-01 4.9146698518e-04
136 6.3380446697e-01 4.7452290097e-04
137 6.3314429011e-01 4.6179574019e-04
138 6.3246052789e-01 4.3049534601e-04
139 6.3176426808e-01 3.8967682261e-04
140 6.3104683043e-01 4.0694764058e-04
141 6.3032802980e-01 4.1942040389e-04
142 6.2959225867e-01 4.2492623661e-04
143 6.2885679260e-01 4.1059740157e-04
144 6.2814077566e-01 4.2164035340e-04
145 6.2741802007e-01 4.4254598158e-04
146 6.2669119809e-01 4.5525679991e-04
147 6.2598780872e-01 4.5254351289e-04
148 6.2528204982e-01 4.2390587382e-04
149 6.2457890202e-01 3.9907886459e-04
150 6.2387223664e-01 3.8842171439e-04
151 6.2315864350e-01 4.2238865941e-04
152 6.2245265071e-01 4.2644188227e-04
153 6.2174560601e-01 4.7153163625e-04
154 6.2105676289e-01 5.2247434828e-04
155 6.2037417054e-01 5.3409129736e-04
156 6.1968572541e-01 5.4324843076e-04
157 6.1894635511e-01 4.4763309809e-04
158 6.1821907049e-01 4.2376859056e-04
159 6.1745818834e-01 4.2008723610e-04
160 6.1673071760e-01 4.1429347553e-04
161 6.1604112681e-01 4.0172508401e-04
162 6.1536691612e-01 4.0141461372e-04
163 6.1467209864e-01 4.2707196012e-04
164 6.1401259886e-01 4.1832562628e-04
165 6.1331799586e-01 3.9843537142e-04
166 6.1260451589e-01 4.1790433340e-04
167 6.1186706494e-01 4.0667303394e-04
168 6.1118380307e-01 4.2664141803e-04
169 6.1051062671e-01 4.6875484901e-04
170 6.0987215536e-01 4.7403256829e-04
171 6.0922680012e-01 4.5395633357e-04
172 6.0854846439e-01 4.3320247114e-04
173 6.0787187431e-01 4.3565580709e-04
174 6.0720768894e-01 3.9892551255e-04
175 6.0652172554e-01 3.6113733694e-04
176 6.0590845818e-01 3.7124052174e-04
177 6.0530178855e-01 3.7467738351e-04
178 6.0469938127e-01 3.5565881045e-04
179 6.0408035944e-01 3.5323753033e-04
180 6.0346989723e-01 3.4311797201e-04
181 6.0288238653e-01 3.4138317237e-04
182 6.0230990669e-01 3.4133754956e-04
183 6.0175626935e-01 3.2694768374e-04
184 6.0126499844e-01 3.2510121148e-04
185 6.0075472519e-01 3.1317727309e-04
186 6.0025254983e-01 3.1615681290e-04
187 5.9974493920e-01 2.9566103509e-04
188 5.9923273228e-01 2.9328258344e-04
189 5.9873864035e-01 2.9853322919e-04
190 5.9822992359e-01 2.9635965244e-04
191 5.9772954977e-01 3.0772655376e-04
192 5.9722792576e-01 2.9858303007e-04
193 5.9671320751e-01 3.0686579547e-04
194 5.9620863436e-01 2.9310720493e-04
195 5.9569221217e-01 2.9027800189e-04
196 5.9516554132e-01 2.9303780301e-04
197 5.9466142447e-01 2.7945256975e-04
198 5.9418812004e-01 2.6728417406e-04
199 5.9374327742e-01 2.6792145817e-04
200 5.9329776598e-01 2.6926803217e-04
201 5.9286982312e-01 2.7955945570e-04
202 5.9243542972e-01 2.6253250681e-04
203 5.9198876609e-01 2.6462847989e-04
204 5.9154357987e-01 2.7331298153e-04
205 5.9107727875e-01 2.8159152653e-04
206 5.9058632262e-01 2.8266460500e-04
207 5.9011488272e-01 2.8318688691e-04
208 5.8964905770e-01 2.6472308518e-04
209 5.8921207603e-01 2.5586166052e-04
210 5.8878084211e-01 2.5382490051e-04
211 5.8832910328e-01 2.6711842320e-04
