iter rel_error rel_residual
0 2.9731221095e+00 7.2946134827e-02
1 3.0224133549e+00 3.2644614851e-02
2 2.3883882716e+00 3.8733130118e-02
3 2.0172760376e+00 1.2893526350e-02
4 1.9558012332e+00 1.3636980170e-02
5 1.7768729519e+00 1.1037292236e-02
6 1.7356298189e+00 5.5899098002e-03
7 1.6318921678e+00 3.6304595626e-03
8 1.5799607974e+00 7.3111731688e-03
9 1.4929116546e+00 5.7168895722e-03
10 1.4818828409e+00 2.6905246197e-03
11 1.4194283919e+00 3.8105168515e-03
12 1.3903673569e+00 3.7185904863e-03
13 1.3635221394e+00 2.0557367531e-03
14 1.3464075044e+00 2.8809004639e-03
15 1.3343462750e+00 2.7297025331e-03
16 1.3058483671e+00 1.4962112263e-03
17 1.2966811136e+00 1.9928398151e-03
18 1.2853173794e+00 2.0498061354e-03
19 1.2639266400e+00 1.2207619057e-03
20 1.2590288384e+00 1.5563988848e-03
21 1.2462622925e+00 1.7048999292e-03
22 1.2306416618e+00 1.0390826036e-03
23 1.2238428449e+00 1.2963054157e-03
24 1.2096106434e+00 1.6111483558e-03
25 1.1953644710e+00 8.9128830864e-04
26 1.1886122289e+00 1.1824572563e-03
27 1.1735195807e+00 1.5150013933e-03
28 1.1635049479e+00 7.6725308954e-04
29 1.1561887447e+00 1.0980132148e-03
30 1.1433250198e+00 1.3785709404e-03
31 1.1340283760e+00 7.2758791335e-04
32 1.1283710100e+00 9.6202736836e-04
33 1.1192046984e+00 1.1675663259e-03
34 1.1128532669e+00 6.4565507439e-04
35 1.1061009475e+00 8.7721268875e-04
36 1.0971396322e+00 1.1480109286e-03
37 1.0909663391e+00 5.8561909419e-04
38 1.0855187688e+00 7.3716434651e-04
39 1.0792457886e+00 8.9523494111e-04
40 1.0753408198e+00 4.7793227080e-04
41 1.0707164251e+00 5.7673646216e-04
42 1.0670800268e+00 7.4698992539e-04
43 1.0631372822e+00 4.6499151164e-04
44 1.0581246757e+00 5.6260306145e-04
45 1.0539015456e+00 6.9939579253e-04
46 1.0500411175e+00 4.1531170445e-04
47 1.0449512851e+00 4.9729691653e-04
48 1.0416460947e+00 6.4017323480e-04
49 1.0371953598e+00 4.1844214083e-04
50 1.0331684649e+00 4.6904338205e-04
51 1.0295897040e+00 6.0821164624e-04
52 1.0254280835e+00 3.7416907636e-04
53 1.0199738559e+00 4.7768525240e-04
54 1.0155887135e+00 6.4288213569e-04
55 1.0098022606e+00 4.1556258050e-04
56 1.0045463827e+00 4.9533210155e-04
57 1.0000917233e+00 5.8502538846e-04
58 9.9551364803e-01 3.6836848765e-04
59 9.9092775031e-01 4.6899366870e-04
60 9.8731030671e-01 5.2153737109e-04
61 9.8339132479e-01 3.5387432823e-04
62 9.7979267959e-01 4.0514730149e-04
63 9.7611003653e-01 5.0732178271e-04
64 9.7199383811e-01 3.4174975738e-04
65 9.6789899178e-01 4.1752758695e-04
66 9.6430902774e-01 5.0953334603e-04
67 9.5999678830e-01 3.4598441170e-04
68 9.5638878108e-01 3.9243833702e-04
69 9.5295566251e-01 4.7551243112e-04
70 9.4954727281e-01 2.9698796547e-04
71 9.4653533755e-01 3.6601584466e-04
72 9.4360398623e-01 4.3794919819e-04
73 9.3978524359e-01 3.0226117965e-04
74 9.3707201393e-01 3.3296661568e-04
75 9.3441264845e-01 3.8871695338e-04
76 9.3125758454e-01 2.7587732107e-04
77 9.2868356565e-01 3.1712235650e-04
78 9.2602564337e-01 3.7289785923e-04
79 9.2305724660e-01 2.5247371226e-04
80 9.2051455829e-01 2.9816854839e-04
81 9.1758167035e-01 3.9555676518e-04
82 9.1414479298e-01 2.5329507529e-04
83 9.1189208441e-01 3.0675308689e-04
84 9.0914427335e-01 3.3578663987e-04
85 9.0620552647e-01 2.4954584488e-04
86 9.0390827297e-01 2.7892164176e-04
87 9.0119126702e-01 3.3845769826e-04
88 8.9816888734e-01 2.5778744917e-04
89 8.9575611800e-01 2.6948108956e-04
90 8.9296205523e-01 3.5545340256e-04
91 8.8978760122e-01 2.5065943478e-04
92 8.8703580047e-01 2.6989769514e-04
93 8.8412157059e-01 3.3707835713e-04
94 8.8134268185e-01 2.2803993881e-04
95 8.7893529843e-01 2.7178078909e-04
96 8.7624660626e-01 3.1975914138e-04
97 8.7369228381e-01 2.1505352395e-04
98 8.7159342672e-01 2.4768153413e-04
99 8.6946905660e-01 2.8782324331e-04
100 8.6748593458e-01 1.9563977840e-04
101 8.6590013124e-01 2.0607778659e-04
102 8.6428688807e-01 2.7158487364e-04
103 8.6250866322e-01 1.7601764542e-04
104 8.6092377796e-01 1.9955416367e-04
105 8.5930783734e-01 2.3736695599e-04
106 8.5759255749e-01 1.7714777115e-04
107 8.5632512892e-01 1.9248421752e-04
108 8.5495861906e-01 2.0817896719e-04
109 8.5352452191e-01 1.5780768226e-04
110 8.5240952188e-01 1.6813043938e-04
111 8.5099545950e-01 2.1951745222e-04
112 8.4939323179e-01 1.6341598570e-04
113 8.4804144247e-01 1.7713056438e-04
114 8.4643129642e-01 2.1292963306e-04
115 8.4491854685e-01 1.5388503962e-04
116 8.4354670031e-01 1.7143882504e-04
117 8.4197059135e-01 1.9425240253e-04
118 8.4067501580e-01 1.4801527296e-04
119 8.3950699778e-01 1.5396905030e-04
120 8.3824516359e-01 1.8011338119e-04
121 8.3696732132e-01 1.3472790019e-04
122 8.3575031884e-01 1.4923370000e-04
123 8.3431127901e-01 1.8179203581e-04
124 8.3296776669e-01 1.3467667031e-04
125 8.3154449004e-01 1.5167896671e-04
126 8.3025983743e-01 1.6555631654e-04
127 8.2896479285e-01 1.3240864955e-04
128 8.2780756271e-01 1.3578154633e-04
129 8.2641628820e-01 1.6400861342e-04
130 8.2525264036e-01 1.2292712006e-04
131 8.2414807310e-01 1.3132003696e-04
132 8.2300419322e-01 1.5300795110e-04
133 8.2182849027e-01 1.2524829502e-04
134 8.2060291782e-01 1.2553083709e-04
135 8.1927677924e-01 1.5498829767e-04
136 8.1804927491e-01 1.1589548678e-04
137 8.1682958942e-01 1.2565509878e-04
138 8.1530627017e-01 1.7201357296e-04
139 8.1375155715e-01 1.1964730790e-04
140 8.1236665200e-01 1.3026986142e-04
141 8.1084632760e-01 1.4955919361e-04
142 8.0974862618e-01 1.1113795247e-04
143 8.0858176447e-01 1.2045671955e-04
144 8.0735026920e-01 1.3582716133e-04
145 8.0640088711e-01 9.7183511271e-05
146 8.0532967026e-01 1.1208339215e-04
147 8.0421027293e-01 1.2791968842e-04
148 8.0332846276e-01 9.4321013564e-05
149 8.0213795009e-01 1.1385095844e-04
150 8.0059710317e-01 1.4844888757e-04
151 7.9912319784e-01 1.1423444775e-04
152 7.9783233557e-01 1.0762329995e-04
153 7.9651315623e-01 1.4179136687e-04
154 7.9537665819e-01 9.8270812147e-05
155 7.9400085138e-01 1.1238565126e-04
156 7.9250511516e-01 1.2921947574e-04
157 7.9125489928e-01 1.1299980833e-04
158 7.8991364197e-01 1.0868938615e-04
159 7.8860319512e-01 1.2720186802e-04
160 7.8741975681e-01 9.9625128885e-05
161 7.8620630538e-01 1.0903618087e-04
162 7.8495190893e-01 1.2292651774e-04
163 7.8370004893e-01 1.0491733316e-04
164 7.8252242004e-01 9.7687511484e-05
165 7.8129925542e-01 1.2457322659e-04
166 7.8013962521e-01 1.0120186184e-04
167 7.7898561378e-01 1.0225344625e-04
168 7.7754160396e-01 1.2552572919e-04
169 7.7630914995e-01 1.0280058489e-04
170 7.7493357884e-01 1.1147570675e-04
171 7.7321938161e-01 1.3348209998e-04
172 7.7191668973e-01 1.0511606192e-04
173 7.7063891173e-01 9.6808505553e-05
174 7.6941512884e-01 1.1349199857e-04
175 7.6850606806e-01 8.9929702965e-05
176 7.6740770855e-01 8.9638077827e-05
177 7.6636551607e-01 1.0913673812e-04
178 7.6546834600e-01 8.6126091972e-05
179 7.6437909433e-01 8.9951485621e-05
180 7.6329071145e-01 1.1437387148e-04
181 7.6216753632e-01 9.6447945303e-05
182 7.6085607776e-01 9.0015279208e-05
183 7.5974368495e-01 1.1405399982e-04
184 7.5872869448e-01 7.5833603103e-05
185 7.5783188416e-01 8.4118411819e-05
186 7.5699690444e-01 8.0893395223e-05
187 7.5644236654e-01 6.8931336466e-05
188 7.5588838083e-01 6.2077901121e-05
189 7.5533987949e-01 7.2368370660e-05
190 7.5478349065e-01 5.8594730946e-05
191 7.5420849670e-01 6.0627863622e-05
192 7.5371206590e-01 6.8462370505e-05
193 7.5315096643e-01 5.8610850686e-05
194 7.5252329815e-01 6.1201630498e-05
195 7.5185958118e-01 6.7436875110e-05
196 7.5131507981e-01 5.7029087942e-05
197 7.5066126309e-01 5.7104563572e-05
198 7.5007232350e-01 6.3871572231e-05
199 7.4949231444e-01 5.4741235561e-05
200 7.4887256132e-01 5.6780662015e-05
201 7.4825785173e-01 6.4609922980e-05
202 7.4766881008e-01 5.3524082411e-05
203 7.4698035715e-01 5.8748953613e-05
204 7.4619071368e-01 6.7339800876e-05
205 7.4540072787e-01 6.2726159952e-05
206 7.4461766425e-01 5.9543329558e-05
207 7.4381376644e-01 6.6527723975e-05
208 7.4308722953e-01 5.4229388893e-05
209 7.4217453892e-01 6.6396521254e-05
210 7.4131451225e-01 6.2658359637e-05
211 7.4060355252e-01 5.4818420173e-05
212 7.3981323432e-01 5.4261937828e-05
213 7.3906919503e-01 6.3362341850e-05
214 7.3836233183e-01 5.5689743914e-05
215 7.3760103822e-01 5.5315479356e-05
216 7.3677745895e-01 6.6149094078e-05
217 7.3600969878e-01 5.4958933042e-05
218 7.3513421087e-01 5.5761485402e-05
219 7.3427974834e-01 6.4549341984e-05
220 7.3346695757e-01 5.4684054085e-05
221 7.3260289614e-01 5.6965991675e-05
222 7.3168068365e-01 6.5669265451e-05
223 7.3073934673e-01 5.8686153520e-05
224 7.2974665873e-01 6.0134667412e-05
225 7.2877307584e-01 6.7430087003e-05
