iter rel_error rel_residual
0 8.4908467528e+00 3.8953693851e-01
1 9.7597318827e+00 1.8949314198e-01
2 1.3446465491e+01 1.0646158339e-01
3 1.4593991541e+01 7.4103750594e-02
4 1.3948056623e+01 5.9117558475e-02
5 1.3224820211e+01 4.7225405877e-02
6 1.2933323618e+01 3.9228359005e-02
7 1.2792984864e+01 3.4792301960e-02
8 1.2629385551e+01 2.9697740170e-02
9 1.2283066952e+01 2.6258495700e-02
10 1.1767265458e+01 2.3499960785e-02
11 1.1374834260e+01 2.1036892933e-02
12 1.1125234002e+01 1.9165617788e-02
13 1.0925972948e+01 1.7317778101e-02
14 1.0624954014e+01 1.5853295453e-02
15 1.0261734901e+01 1.4831457234e-02
16 9.9849303695e+00 1.3861995498e-02
17 9.7892643353e+00 1.3242629869e-02
18 9.6275747477e+00 1.2477006521e-02
19 9.4690156699e+00 1.2032980644e-02
20 9.3170924830e+00 1.1467873890e-02
21 9.2159983552e+00 1.0975704152e-02
22 9.1968754216e+00 1.0501365466e-02
23 9.2277857957e+00 9.9635417893e-03
24 9.2582958775e+00 9.6444089508e-03
25 9.2925243954e+00 9.2266816472e-03
26 9.3546220869e+00 8.7330993744e-03
27 9.4369116207e+00 8.4943416411e-03
28 9.5248614136e+00 8.1827103667e-03
29 9.6015538545e+00 7.9252368837e-03
30 9.6667546777e+00 7.5567461288e-03
31 9.7292058620e+00 7.3984298765e-03
32 9.7978252119e+00 7.0740234622e-03
33 9.8605635850e+00 6.8698341965e-03
34 9.9078255063e+00 6.7279247941e-03
35 9.9457450341e+00 6.5129491329e-03
36 9.9891151951e+00 6.2924213038e-03
37 1.0040472604e+01 6.1528629236e-03
38 1.0091661415e+01 6.0149646482e-03
39 1.0140019256e+01 5.8642801723e-03
40 1.0190788868e+01 5.6366724415e-03
41 1.0248505259e+01 5.4941922415e-03
42 1.0311605899e+01 5.2671050575e-03
43 1.0372220318e+01 5.1077247330e-03
44 1.0430000226e+01 5.0249699832e-03
45 1.0487062935e+01 4.8868718307e-03
46 1.0545905104e+01 4.8018802563e-03
47 1.0605820667e+01 4.6906495322e-03
48 1.0662416683e+01 4.5712678625e-03
49 1.0714569775e+01 4.4516993110e-03
50 1.0764683186e+01 4.3494993419e-03
51 1.0812578240e+01 4.2578656726e-03
52 1.0859362294e+01 4.1041788201e-03
53 1.0904294405e+01 3.9753605252e-03
54 1.0945857495e+01 3.8915382965e-03
55 1.0984063409e+01 3.7921090607e-03
56 1.1020542668e+01 3.6935364501e-03
57 1.1056319948e+01 3.5816607453e-03
58 1.1090195327e+01 3.4739733412e-03
59 1.1122226786e+01 3.3966793706e-03
60 1.1151817568e+01 3.2965266337e-03
61 1.1180218769e+01 3.2317789097e-03
62 1.1208461010e+01 3.1453968273e-03
63 1.1234743601e+01 3.0923858073e-03
64 1.1258185590e+01 3.0594901783e-03
65 1.1280094494e+01 3.0029121531e-03
66 1.1302098382e+01 2.9553279941e-03
67 1.1323746058e+01 2.8814760800e-03
68 1.1343827761e+01 2.8583636218e-03
69 1.1361819793e+01 2.7846978147e-03
70 1.1377533457e+01 2.7105248741e-03
71 1.1392586593e+01 2.6503045158e-03
72 1.1407401796e+01 2.5743530135e-03
73 1.1420604417e+01 2.5221288604e-03
74 1.1431834977e+01 2.4805826812e-03
75 1.1442233672e+01 2.3974169472e-03
76 1.1451803096e+01 2.3443048015e-03
77 1.1460063250e+01 2.3154613559e-03
78 1.1467112855e+01 2.2739161333e-03
79 1.1473511483e+01 2.2869081245e-03
80 1.1480336727e+01 2.3699406112e-03
81 1.1488787641e+01 2.5648883757e-03
82 1.1500248866e+01 2.7864751856e-03
83 1.1514306515e+01 2.8273431291e-03
84 1.1528091445e+01 2.7154994243e-03
85 1.1539184716e+01 2.5385689962e-03
86 1.1546854428e+01 2.4015826858e-03
87 1.1552072935e+01 2.2857686843e-03
88 1.1555367786e+01 2.1691970976e-03
89 1.1556576717e+01 2.0527359367e-03
90 1.1555673222e+01 1.9507829250e-03
91 1.1553668432e+01 1.8401463678e-03
92 1.1551054249e+01 1.7419358312e-03
93 1.1547449227e+01 1.6384652276e-03
94 1.1542495116e+01 1.5510670044e-03
95 1.1536558763e+01 1.4817885100e-03
96 1.1530408459e+01 1.4231143471e-03
97 1.1523858619e+01 1.3668469233e-03
98 1.1516544605e+01 1.3290989944e-03
99 1.1508295325e+01 1.2906583874e-03
100 1.1499683936e+01 1.2695990384e-03
101 1.1490700023e+01 1.2592446211e-03
102 1.1481207543e+01 1.2364992645e-03
103 1.1471133519e+01 1.2124325841e-03
104 1.1460604800e+01 1.1975287227e-03
105 1.1449768205e+01 1.1778855556e-03
106 1.1438543351e+01 1.1664645792e-03
107 1.1426412416e+01 1.1595675635e-03
108 1.1414041163e+01 1.1400764639e-03
109 1.1401242231e+01 1.1392381992e-03
110 1.1387830416e+01 1.1274037040e-03
111 1.1373650010e+01 1.1227538043e-03
112 1.1358536951e+01 1.1164455002e-03
113 1.1342433902e+01 1.1192588324e-03
114 1.1325568852e+01 1.1256441701e-03
115 1.1307327736e+01 1.1316889791e-03
116 1.1287692452e+01 1.1466193733e-03
117 1.1267455321e+01 1.1539879566e-03
118 1.1246021152e+01 1.1523700705e-03
119 1.1223670495e+01 1.1608616566e-03
120 1.1200259073e+01 1.1678265493e-03
121 1.1175775643e+01 1.1696671230e-03
