iter rel_error rel_residual
0 1.1107500816e+01 4.2225846464e-01
1 1.2624530282e+01 1.8938954172e-01
2 1.5397961267e+01 1.1537780447e-01
3 1.8172054713e+01 8.2389708560e-02
4 1.8568679424e+01 5.7976773648e-02
5 1.7106895097e+01 4.7751645549e-02
6 1.5275094668e+01 3.9824711360e-02
7 1.4302674240e+01 3.4244698201e-02
8 1.3930562719e+01 3.0017948153e-02
9 1.3700347158e+01 2.6457422206e-02
10 1.3518404112e+01 2.4193266925e-02
11 1.3350084248e+01 2.1984537915e-02
12 1.3109699214e+01 1.9763093481e-02
13 1.2770060652e+01 1.8084336277e-02
14 1.2463767917e+01 1.6657046245e-02
15 1.2272086987e+01 1.5361639107e-02
16 1.2156745581e+01 1.4308304148e-02
17 1.2047256274e+01 1.3235518938e-02
18 1.1921442741e+01 1.2329621329e-02
19 1.1774526526e+01 1.1708036353e-02
20 1.1621153435e+01 1.1210032733e-02
21 1.1498987932e+01 1.0609493553e-02
22 1.1400702220e+01 1.0157550417e-02
23 1.1309595137e+01 9.8052159253e-03
24 1.1234020710e+01 9.3598541844e-03
25 1.1168326116e+01 9.0059813921e-03
26 1.1120122652e+01 8.5701303379e-03
27 1.1096869042e+01 8.3388580702e-03
28 1.1100063571e+01 8.0500590439e-03
29 1.1121077701e+01 7.8624653775e-03
30 1.1153580118e+01 7.5557905705e-03
31 1.1199683252e+01 7.2704873793e-03
32 1.1258383109e+01 6.9654538732e-03
33 1.1320999965e+01 6.7647894904e-03
34 1.1395931823e+01 6.5294795076e-03
35 1.1479005638e+01 6.2825176183e-03
36 1.1562432933e+01 6.1125903909e-03
37 1.1647453661e+01 5.9027555123e-03
38 1.1733159832e+01 5.7738098409e-03
39 1.1820883891e+01 5.6122683955e-03
40 1.1907990764e+01 5.4330513976e-03
41 1.1991734843e+01 5.2513546308e-03
42 1.2068882816e+01 5.1513895007e-03
43 1.2140141027e+01 5.0506420586e-03
44 1.2209244887e+01 4.9540192458e-03
45 1.2278796133e+01 4.8905948039e-03
46 1.2350311420e+01 4.8063126968e-03
47 1.2421435505e+01 4.6486675264e-03
48 1.2487810871e+01 4.5156349979e-03
49 1.2550941481e+01 4.4240817008e-03
50 1.2612364179e+01 4.3086668059e-03
51 1.2672103507e+01 4.1906409266e-03
52 1.2730118573e+01 4.0981276279e-03
53 1.2787281434e+01 4.0022877298e-03
