iter rel_error rel_residual
0 3.3567398891e+00 4.9810084021e-01
1 4.4434340240e+00 1.5616516403e-01
2 2.6339717575e+00 7.0553490394e-02
3 2.0236986899e+00 5.2824009048e-02
4 1.7471969650e+00 3.4375356639e-02
5 1.8250253769e+00 2.7619009096e-02
6 1.8625385468e+00 2.9891798785e-02
7 1.7622706650e+00 1.9045865850e-02
8 1.6917431439e+00 1.4250148514e-02
9 1.6206847819e+00 1.2748593908e-02
10 1.5914173888e+00 1.2700592468e-02
11 1.5036824401e+00 1.3194480477e-02
12 1.4322218127e+00 1.0985412364e-02
13 1.3602369910e+00 7.2349891004e-03
14 1.2696052817e+00 6.1975072559e-03
15 1.2099752399e+00 6.5831810377e-03
16 1.1466349197e+00 6.4044723761e-03
17 1.0783164462e+00 6.4604815182e-03
18 1.0113550711e+00 5.6245786779e-03
19 9.6677595244e-01 3.7735635409e-03
20 9.3891001951e-01 3.1355569522e-03
21 9.1077288703e-01 3.0902258995e-03
22 8.9030881596e-01 3.6739658603e-03
23 8.7300994930e-01 3.1556750363e-03
24 8.5616384241e-01 3.2041116187e-03
25 8.4410026288e-01 2.5599297934e-03
26 8.2757647564e-01 2.9697582863e-03
27 8.0684283321e-01 3.4105603896e-03
28 7.8286300157e-01 3.1571349508e-03
29 7.3959611833e-01 2.5116451441e-03
30 7.0679360088e-01 1.9798365739e-03
31 6.7806690468e-01 1.6733857378e-03
32 6.5768251787e-01 2.0516960141e-03
33 6.5215525117e-01 1.6782619233e-03
34 6.4787891587e-01 1.5806749681e-03
35 6.4119263060e-01 1.3547653864e-03
36 6.2375536557e-01 1.6269879851e-03
37 5.9514570862e-01 1.7694775750e-03
38 5.6903852238e-01 1.5134757361e-03
39 5.3998292887e-01 1.2037333436e-03
40 5.1400598806e-01 1.2919916981e-03
41 5.0466302830e-01 1.6797283404e-03
42 4.9398099448e-01 1.2703068972e-03
43 4.8722722670e-01 1.6473488922e-03
44 4.8081801658e-01 1.0884191259e-03
45 4.6807560419e-01 1.4966717234e-03
46 4.5063999872e-01 8.9373548842e-04
47 4.3241058981e-01 1.1587376255e-03
48 4.1679122105e-01 1.0215010796e-03
49 4.0078881480e-01 1.0166701082e-03
50 3.8540354173e-01 9.5724221733e-04
51 3.8862055310e-01 7.9331196091e-04
52 3.9610657045e-01 8.5671885865e-04
53 3.8951850079e-01 8.0412952554e-04
54 3.7357993471e-01 8.1900464030e-04
55 3.5856352130e-01 6.6381368627e-04
56 3.4661353785e-01 5.4249274968e-04
57 3.3946002278e-01 6.2712363164e-04
58 3.4446594861e-01 5.3728998934e-04
59 3.5335976980e-01 5.0178733793e-04
60 3.5391736094e-01 5.3024561140e-04
61 3.4841847682e-01 5.7700296151e-04
62 3.4042581214e-01 6.6615490913e-04
63 3.3425400091e-01 6.1281921485e-04
64 3.2964251752e-01 4.6717711704e-04
65 3.2721870580e-01 5.0327296077e-04
66 3.2479419131e-01 6.0019562002e-04
67 3.2059445359e-01 3.1613322202e-04
68 3.1458276676e-01 2.8933454913e-04
69 3.1230766924e-01 3.3781296932e-04
70 3.1110673954e-01 3.0625573811e-04
71 3.0990931269e-01 3.2654035959e-04
72 3.0634604413e-01 2.8397319432e-04
73 3.0426757835e-01 2.6869457207e-04
74 3.0389932845e-01 2.8739574223e-04
75 3.0406792179e-01 2.6915107256e-04
76 3.0421930056e-01 2.8895711739e-04
77 3.0444367275e-01 2.7301856789e-04
78 3.0374249554e-01 2.3013507253e-04
79 3.0123076350e-01 2.4762788448e-04
80 2.9706357079e-01 2.1096576870e-04
81 2.9322816926e-01 2.8268326951e-04
82 2.9112809684e-01 2.2723673153e-04
83 2.9043473896e-01 2.6610475135e-04
84 2.8965368097e-01 1.7056757465e-04
85 2.8619233716e-01 1.9907890046e-04
86 2.8079058117e-01 2.3406808701e-04
87 2.7653213991e-01 2.8932657200e-04
88 2.7275904209e-01 2.6992827874e-04
89 2.6908600915e-01 1.5209390882e-04
90 2.6581639382e-01 1.5162287512e-04
91 2.6358903009e-01 1.6123615541e-04
92 2.6239010881e-01 2.0882033232e-04
93 2.6098341097e-01 1.2008017871e-04
94 2.5806120633e-01 1.7179337539e-04
95 2.5388805749e-01 1.5858800793e-04
96 2.4920845529e-01 1.7695469887e-04
97 2.4525154628e-01 2.1022019242e-04
98 2.4106649414e-01 1.6303395792e-04
99 2.3577006612e-01 1.5182630647e-04
100 2.3040084825e-01 1.6439254328e-04
101 2.2442200702e-01 1.1060498657e-04
